Category 	 ID 	 Algorithm 	 idRun 	 HV 	 Time
C1	01	bd2	21	1.002	173.8
C1	01	bd2	22	1.002	291.57
C1	01	bd2	23	1.002	92.63
C1	01	bd2	24	1.002	318.24
C1	01	bd2	25	1.002	213.9
C1	01	bd2	26	1.002	128.57
C1	01	bd2	27	1.002	199.12
C1	01	bd2	28	1.002	130.08
C1	01	bd2	29	1.002	239.99
C1	01	bd2	30	1.002	228.42
C1	01	bd3	1	1.002	275.65
C1	01	bd3	2	1.002	171.3
C1	01	bd3	3	1.002	148.02
C1	01	bd3	4	1.002	202.24
C1	01	bd3	5	1.002	171.11
C1	01	bd3	6	1.002	178.0
C1	01	bd3	7	1.002	176.28
C1	01	bd3	8	1.002	128.96
C1	01	bd3	9	1.002	211.16
C1	01	bd3	10	1.002	253.08
C1	01	bd3	11	1.002	180.97
C1	01	bd3	12	1.002	203.1
C1	01	bd3	13	1.002	263.16
C1	01	bd3	14	1.002	191.02
C1	01	bd3	15	1.002	228.21
C1	01	bd3	16	1.002	165.2
C1	01	bd3	17	1.002	217.8
C1	01	bd3	18	1.002	214.6
C1	01	bd3	19	1.002	145.43
C1	01	bd3	20	1.002	214.29
C1	01	bd3	21	1.002	187.05
C1	01	bd3	22	1.002	233.12
C1	01	bd3	23	1.002	220.29
C1	01	bd3	24	1.002	140.7
C1	01	bd3	25	1.002	137.08
C1	01	bd3	26	1.002	222.49
C1	01	bd3	27	1.002	187.41
C1	01	bd3	28	1.002	191.56
C1	01	bd3	29	1.002	137.52
C1	01	bd3	30	1.002	224.36
C1	01	moeadls	1	0.14293	720.01
C1	01	moeadls	2	0.0	720.31
C1	01	moeadls	3	0.45692	720.8
C1	01	moeadls	4	0.48232	720.41
C1	01	moeadls	5	0.08969	720.01
C1	01	moeadls	6	0.5882	720.6
C1	01	moeadls	7	0.07456	720.23
C1	01	moeadls	8	0.0	720.62
C1	01	moeadls	9	0.04916	720.77
C1	01	moeadls	10	0.38008	720.62
C1	01	moeadls	11	0.52406	720.44
C1	01	moeadls	12	0.84834	271.73
C1	01	moeadls	13	0.29175	720.03
C1	01	moeadls	14	0.48777	720.02
C1	01	moeadls	15	0.0	720.05
C1	01	moeadls	16	0.48353	720.18
C1	01	moeadls	17	0.63599	720.26
C1	01	moeadls	18	0.61421	720.27
C1	01	moeadls	19	1.002	211.28
C1	01	moeadls	20	0.30325	720.66
C1	01	moeadls	21	0.21734	720.08
C1	01	moeadls	22	0.48353	720.47
C1	01	moeadls	23	0.29357	720.39
C1	01	moeadls	24	0.04916	720.1
C1	01	moeadls	25	0.0	720.02
C1	01	moeadls	26	0.48656	720.43
C1	01	moeadls	27	0.51076	720.26
C1	01	moeadls	28	0.1151	720.71
C1	01	moeadls	29	1.002	548.51
C1	01	moeadls	30	0.0	720.25
C1	02	fbd1	1	1.002	99.98
C1	02	fbd1	2	1.002	120.87
C1	02	fbd1	3	1.002	116.32
C1	02	fbd1	4	1.002	93.53
C1	02	fbd1	5	1.002	556.53
C1	02	fbd1	6	1.002	89.13
C1	02	fbd1	7	1.002	100.45
C1	02	fbd1	8	1.002	135.62
C1	02	fbd1	9	1.002	116.03
C1	02	fbd1	10	1.002	83.16
C1	02	fbd1	11	1.002	158.08
C1	02	fbd1	12	1.002	99.14
C1	02	fbd1	13	1.002	84.98
C1	02	fbd1	14	1.002	90.9
C1	02	fbd1	15	1.002	93.32
C1	02	fbd1	16	1.002	112.91
C1	02	fbd1	17	1.002	150.02
C1	02	fbd1	18	1.002	109.28
C1	02	fbd1	19	1.002	137.19
C1	02	fbd1	20	1.002	98.6
C1	02	fbd1	21	1.002	128.59
C1	02	fbd1	22	1.002	104.88
C1	02	fbd1	23	1.002	105.03
C1	02	fbd1	24	1.002	106.33
C1	02	fbd1	25	1.002	101.2
C1	02	fbd1	26	1.002	151.04
C1	02	fbd1	27	1.002	89.5
C1	02	fbd1	28	1.002	80.51
C1	02	fbd1	29	1.002	98.88
C1	02	fbd1	30	1.002	125.85
C1	02	fbd2	1	1.002	103.48
C1	02	fbd2	2	1.002	100.25
C1	02	fbd2	3	1.002	96.12
C1	02	fbd2	4	1.002	124.4
C1	02	fbd2	5	1.002	137.52
C1	02	fbd2	6	1.002	96.55
C1	02	fbd2	7	1.002	106.77
C1	02	fbd2	8	0.98022	87.78
C1	02	fbd2	9	1.002	70.44
C1	02	fbd2	10	1.002	104.55
C1	02	fbd2	11	1.002	99.94
C1	02	fbd2	12	1.002	95.4
C1	02	fbd2	13	1.002	118.31
C1	02	fbd2	14	1.002	110.98
C1	02	fbd2	15	1.002	86.33
C1	02	fbd2	16	1.002	93.34
C1	02	fbd2	17	0.60513	720.02
C1	02	fbd2	18	1.002	90.92
C1	02	fbd2	19	1.002	96.09
C1	02	fbd2	20	1.002	99.29
C1	02	fbd2	21	1.002	94.63
C1	02	fbd2	22	1.002	75.23
C1	02	fbd2	23	1.002	95.56
C1	02	fbd2	24	1.002	86.43
C1	02	fbd2	25	1.002	98.17
C1	02	fbd2	26	1.002	131.03
C1	02	fbd2	27	1.002	84.89
C1	02	fbd2	28	1.002	137.34
C1	02	fbd2	29	1.002	92.56
C1	02	fbd2	30	1.002	87.96
C1	02	fbd3	1	1.002	128.21
C1	02	fbd3	2	1.002	69.58
C1	02	fbd3	3	0.98022	90.29
C1	02	fbd3	4	1.002	88.54
C1	02	fbd3	5	1.002	107.61
C1	02	fbd3	6	1.002	113.65
C1	02	fbd3	7	1.002	80.03
C1	02	fbd3	8	1.002	113.32
C1	02	fbd3	9	1.002	108.54
C1	02	fbd3	10	1.002	89.75
C1	02	fbd3	11	1.002	121.42
C1	02	fbd3	12	1.002	90.79
C1	02	fbd3	13	1.002	116.59
C1	02	fbd3	14	1.002	86.43
C1	02	fbd3	15	1.002	84.71
C1	02	fbd3	16	1.002	107.11
C1	02	fbd3	17	1.002	93.51
C1	02	fbd3	18	1.002	107.8
C1	02	fbd3	19	1.002	144.03
C1	02	fbd3	20	1.002	69.65
C1	02	fbd3	21	1.002	95.12
C1	02	fbd3	22	1.002	98.39
C1	02	fbd3	23	1.002	116.06
C1	02	fbd3	24	1.002	112.22
C1	02	fbd3	25	1.002	104.84
C1	02	fbd3	26	1.002	163.12
C1	02	fbd3	27	1.002	105.55
C1	02	fbd3	28	1.002	690.47
C1	02	fbd3	29	1.002	81.86
C1	02	fbd3	30	1.002	123.11
C1	02	bd1	1	1.002	270.77
C1	02	bd1	2	0.65534	720.34
C1	02	bd1	3	1.002	191.55
C1	02	bd1	4	1.002	311.81
C1	02	bd1	5	1.002	319.61
C1	02	bd1	6	0.68317	720.67
C1	02	bd1	7	1.002	306.88
C1	02	bd1	8	1.002	270.69
C1	02	bd1	9	1.002	237.46
C1	02	bd1	10	1.002	350.92
C1	02	bd1	11	0.98022	204.09
C1	02	bd1	12	1.002	286.12
C1	02	bd1	13	0.80781	212.66
C1	02	bd1	14	1.002	241.8
C1	02	bd1	15	1.002	232.14
C1	02	bd1	16	1.002	248.61
C1	02	bd1	17	1.002	347.98
C1	02	bd1	18	1.002	219.01
C1	02	bd1	19	1.002	242.89
C1	02	bd1	20	1.002	230.43
C1	02	bd1	21	0.55069	720.89
C1	02	bd1	22	1.002	271.99
C1	02	bd1	23	1.002	266.49
C1	02	bd1	24	1.002	366.71
C1	02	bd1	25	1.002	321.65
C1	02	bd1	26	1.002	353.42
C1	02	bd1	27	1.002	218.06
C1	02	bd1	28	1.002	245.45
C1	02	bd1	29	1.002	269.71
C1	02	bd1	30	1.002	256.71
C1	02	bd2	1	0.80417	299.74
C1	02	bd2	2	1.002	610.4
C1	02	bd2	3	1.002	391.57
C1	02	bd2	4	1.002	381.07
C1	02	bd2	5	1.002	320.24
C1	02	bd2	6	1.002	305.3
C1	02	bd2	7	1.002	310.28
C1	02	bd2	8	1.002	372.91
C1	02	bd2	9	1.002	338.96
C1	02	bd2	10	1.002	228.47
C1	02	bd2	11	1.002	395.14
C1	02	bd2	12	1.002	524.87
C1	02	bd2	13	1.002	395.41
C1	02	bd2	14	1.002	229.77
C1	02	bd2	15	1.002	386.56
C1	02	bd2	16	0.98022	351.55
C1	02	bd2	17	0.98022	297.09
C1	02	bd2	18	1.002	391.67
C1	02	bd2	19	0.98022	279.55
C1	02	bd2	20	1.002	228.38
C1	02	bd2	21	1.002	289.79
C1	02	bd2	22	1.002	336.93
C1	02	bd2	23	1.002	276.43
C1	02	bd2	24	0.60756	720.57
C1	02	bd2	25	1.002	221.54
C1	02	bd2	26	1.002	320.41
C1	02	bd2	27	0.9899	214.12
C1	02	bd2	28	1.002	573.83
C1	02	bd2	29	1.002	307.09
C1	02	bd2	30	1.002	577.72
C1	02	bd3	1	1.002	297.82
C1	02	bd3	2	1.002	286.48
C1	02	bd3	3	0.98022	347.82
C1	02	bd3	4	1.002	451.18
C1	02	bd3	5	1.002	383.59
C1	02	bd3	6	1.002	289.51
C1	02	bd3	7	1.002	423.18
C1	02	bd3	8	1.002	343.01
C1	02	bd3	9	0.65413	720.02
C1	02	bd3	10	0.95541	296.07
C1	02	bd3	11	0.98022	242.83
C1	02	bd3	12	1.002	313.64
C1	02	bd3	13	1.002	405.38
C1	02	bd3	14	1.002	381.55
C1	02	bd3	15	0.58578	720.26
C1	02	bd3	16	1.002	303.98
C1	02	bd3	17	1.002	335.61
C1	02	bd3	18	1.002	258.51
C1	02	bd3	19	1.002	381.66
C1	02	bd3	20	1.002	306.59
C1	02	bd3	21	1.002	370.28
C1	02	bd3	22	0.4061	720.33
C1	02	bd3	23	0.56823	720.02
C1	02	bd3	24	1.002	347.82
C1	02	bd3	25	1.002	350.23
C1	02	bd3	26	1.002	310.22
C1	02	bd3	27	0.95541	320.52
C1	02	bd3	28	1.002	342.07
C1	02	bd3	29	0.80781	402.51
C1	02	bd3	30	0.98022	470.63
C1	02	moeadls	1	0.0	720.53
C1	02	moeadls	2	0.01831	720.47
C1	02	moeadls	3	0.0	720.43
C1	02	moeadls	4	0.0	720.28
C1	02	moeadls	5	0.0	720.6
C1	02	moeadls	6	0.0	720.54
C1	02	moeadls	7	0.0	720.68
C1	02	moeadls	8	0.0	720.01
C1	02	moeadls	9	0.0	720.23
C1	02	moeadls	10	0.0	720.01
C1	02	moeadls	11	0.0	720.02
C1	02	moeadls	12	0.0	720.47
C1	02	moeadls	13	0.0	720.51
C1	02	moeadls	14	0.0	720.85
C1	02	moeadls	15	0.0	720.1
C1	02	moeadls	16	0.0	720.01
C1	02	moeadls	17	0.00438	720.03
C1	02	moeadls	18	0.41396	720.36
C1	02	moeadls	19	0.0	720.73
C1	02	moeadls	20	0.55492	720.1
C1	02	moeadls	21	0.0	720.02
C1	02	moeadls	22	0.0	720.65
C1	02	moeadls	23	0.0	720.74
C1	02	moeadls	24	0.0	720.04
C1	02	moeadls	25	0.0	720.28
C1	02	moeadls	26	0.0	720.07
C1	02	moeadls	27	0.0	720.64
C1	02	moeadls	28	0.0	720.02
C1	02	moeadls	29	0.0	720.24
C1	02	moeadls	30	0.0	720.11
C1	03	fbd1	1	0.97535	153.22
C1	03	fbd1	2	0.99699	177.79
C1	03	fbd1	3	0.99598	197.32
C1	03	fbd1	4	0.99598	167.74
C1	03	fbd1	5	0.84144	555.19
C1	03	fbd1	6	0.97535	294.97
C1	03	fbd1	7	0.99598	125.71
C1	03	fbd1	8	0.99598	129.78
C1	03	fbd1	9	0.99699	177.87
C1	03	fbd1	10	0.99598	201.48
C1	03	fbd1	11	0.99598	133.42
C1	03	fbd1	12	0.99699	205.19
C1	03	fbd1	13	0.99598	244.78
C1	03	fbd1	14	0.99598	120.28
C1	03	fbd1	15	0.99598	210.42
C1	03	fbd1	16	0.82214	149.06
C1	03	fbd1	17	0.84144	197.53
C1	03	fbd1	18	0.99699	462.66
C1	03	fbd1	19	0.99598	192.67
C1	03	fbd1	20	0.99598	145.27
C1	03	fbd1	21	0.99598	170.42
C1	03	fbd1	22	0.99598	155.31
C1	03	fbd1	23	0.84144	164.86
C1	03	fbd1	24	0.99699	181.55
C1	03	fbd1	25	0.99598	106.52
C1	03	fbd1	26	0.99699	210.57
C1	03	fbd1	27	0.99598	140.98
C1	03	fbd1	28	0.74169	720.12
C1	03	fbd1	29	0.99699	154.81
C1	03	fbd1	30	0.99699	138.84
C1	03	fbd2	1	0.99598	203.92
C1	03	fbd2	2	0.99699	143.06
C1	03	fbd2	3	0.99598	170.89
C1	03	fbd2	4	0.99699	170.56
C1	03	fbd2	5	0.99598	154.7
C1	03	fbd2	6	0.99699	105.22
C1	03	fbd2	7	0.99598	227.64
C1	03	fbd2	8	0.99598	157.57
C1	03	fbd2	9	0.99699	183.28
C1	03	fbd2	10	0.99598	161.38
C1	03	fbd2	11	0.99699	132.3
C1	03	fbd2	12	0.99699	177.86
C1	03	fbd2	13	0.99598	163.78
C1	03	fbd2	14	0.99699	141.23
C1	03	fbd2	15	0.99598	269.74
C1	03	fbd2	16	0.99598	145.41
C1	03	fbd2	17	0.99699	182.44
C1	03	fbd2	18	0.99699	173.46
C1	03	fbd2	19	0.99699	137.73
C1	03	fbd2	20	0.99598	156.22
C1	03	fbd2	21	0.8202	256.28
C1	03	fbd2	22	0.99178	206.83
C1	03	fbd2	23	0.80295	544.64
C1	03	fbd2	24	0.99598	156.56
C1	03	fbd2	25	0.99598	194.53
C1	03	fbd2	26	0.99598	496.93
C1	03	fbd2	27	0.99598	159.72
C1	03	fbd2	28	0.99699	324.52
C1	03	fbd2	29	0.99699	204.7
C1	03	fbd2	30	0.99699	443.66
C1	03	fbd3	1	0.99598	128.41
C1	03	fbd3	2	0.82214	688.99
C1	03	fbd3	3	0.99598	250.42
C1	03	fbd3	4	0.99598	191.67
C1	03	fbd3	5	0.99598	262.9
C1	03	fbd3	6	0.99699	149.96
C1	03	fbd3	7	0.97434	200.0
C1	03	fbd3	8	0.99699	173.35
C1	03	fbd3	9	0.99598	139.88
C1	03	fbd3	10	0.99598	149.11
C1	03	fbd3	11	0.99598	172.06
C1	03	fbd3	12	0.99598	225.86
C1	03	fbd3	13	0.99699	189.91
C1	03	fbd3	14	0.99598	227.09
C1	03	fbd3	15	0.99699	163.34
C1	03	fbd3	16	0.99699	197.7
C1	03	fbd3	17	0.22817	720.01
C1	03	fbd3	18	0.99598	167.4
C1	03	fbd3	19	0.99598	165.23
C1	03	fbd3	20	0.99699	142.63
C1	03	fbd3	21	0.76091	720.05
C1	03	fbd3	22	0.99699	266.53
C1	03	fbd3	23	0.99598	150.95
C1	03	fbd3	24	0.99598	171.3
C1	03	fbd3	25	0.99598	178.37
C1	03	fbd3	26	0.99598	132.7
C1	03	fbd3	27	0.99598	173.69
C1	03	fbd3	28	0.99598	125.86
C1	03	fbd3	29	0.99598	193.28
C1	03	fbd3	30	0.97434	190.72
C1	03	bd1	1	0.99598	309.19
C1	03	bd1	2	0.99598	386.41
C1	03	bd1	3	0.99598	411.38
C1	03	bd1	4	0.99699	488.94
C1	03	bd1	5	0.99598	560.27
C1	03	bd1	6	0.99699	322.07
C1	03	bd1	7	0.99598	386.21
C1	03	bd1	8	0.99598	433.75
C1	03	bd1	9	0.97434	353.84
